FieldName,DeclaredIn,Category,ReadsBy,WritesBy,Thread,Lifetime,CandidateOwner,Notes
"_renderedFrames","desktop-pet/PetForm.cs:93","B Animation/hover","desktop-pet/PetForm.cs:616 ApplyCurrentDisplayScale; desktop-pet/PetAnimationRuntime.cs:496 RenderCurrentFrame; desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetAnimationRuntime.cs:517 EnsureRenderedRow; desktop-pet/PetAnimationRuntime.cs:565 DisposeRenderedFrameCache","desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetAnimationRuntime.cs:565 DisposeRenderedFrameCache","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_renderedFramesOwnBitmaps","desktop-pet/PetForm.cs:94","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetAnimationRuntime.cs:565 DisposeRenderedFrameCache","desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetAnimationRuntime.cs:565 DisposeRenderedFrameCache","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_renderedTargetSize","desktop-pet/PetForm.cs:95","B Animation/hover","desktop-pet/PetForm.cs:616 ApplyCurrentDisplayScale; desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetAnimationRuntime.cs:517 EnsureRenderedRow","desktop-pet/PetForm.cs:616 ApplyCurrentDisplayScale; desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_contactAuthorForm","desktop-pet/PetForm.cs:96","A Window shell","desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetForm.cs:741 ShowContactAuthor","desktop-pet/PetForm.cs:741 ShowContactAuthor","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_displayTopologyRuntime","desktop-pet/PetForm.cs:97","D Display","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:430 CurrentTopologySnapshot; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:636 WndProc; desktop-pet/PetForm.cs:657 DisplayTopologyChanged; desktop-pet/PetForm.cs:701 OnFormClosed","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:732 ApplyDockBatchResult; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","DisplayRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_preAlertItem","desktop-pet/PetForm.cs:98","K Bubble/daily/reminder","desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:392 BubbleMessageClosed; desktop-pet/PetReminderWindowsCoordinator.cs:133 CancelReminderForNote; desktop-pet/PetReminderWindowsCoordinator.cs:212 CancelReminder","desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:392 BubbleMessageClosed","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing PetReminderCoordinator","Forwarding property, not duplicate storage"
"_row","desktop-pet/PetForm.cs:101","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:124 ScheduleNextFrame; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:496 RenderCurrentFrame; desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_frame","desktop-pet/PetForm.cs:103","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:124 ScheduleNextFrame; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:496 RenderCurrentFrame; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:496 RenderCurrentFrame; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_dragging","desktop-pet/PetForm.cs:105","A Window shell","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:495 OnDpiChanged; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:137 ChooseRow; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetAnimationRuntime.cs:186 PetMouseUp; desktop-pet/PetDisplayRuntime.cs:388 ReconcilePetDisplayPlacement; desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:344 ShowOrUpdateHoverBubble; desktop-pet/PetBubbleCoordinator.cs:397 RestoreAmbientBubble; desktop-pet/PetMenuActions.cs:226 BeginExitSequence; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:186 PetMouseUp; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_dragMoved","desktop-pet/PetForm.cs:106","A Window shell","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:137 ChooseRow; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetAnimationRuntime.cs:186 PetMouseUp","desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetAnimationRuntime.cs:186 PetMouseUp","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_dragMouseOrigin","desktop-pet/PetForm.cs:107","A Window shell","desktop-pet/PetForm.cs:495 OnDpiChanged; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove","desktop-pet/PetForm.cs:495 OnDpiChanged; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_dragWindowOrigin","desktop-pet/PetForm.cs:108","A Window shell","desktop-pet/PetForm.cs:495 OnDpiChanged; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetAnimationRuntime.cs:186 PetMouseUp","desktop-pet/PetForm.cs:495 OnDpiChanged; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_typingSession","desktop-pet/PetForm.cs:109","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:296 StartProtectedSmallTalkAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_typingRow","desktop-pet/PetForm.cs:111","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation","desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_idleRow","desktop-pet/PetForm.cs:113","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_typingUntilUtc","desktop-pet/PetForm.cs:115","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation","desktop-pet/PetAnimationRuntime.cs:368 TriggerTypingAnimation","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_reminderAttentionActive","desktop-pet/PetForm.cs:117","K Bubble/daily/reminder","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation","desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing PetReminderCoordinator","Forwarding property, not duplicate storage"
"_nextFrameUtc","desktop-pet/PetForm.cs:120","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:124 ScheduleNextFrame; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:124 ScheduleNextFrame; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing animation owner + hover lifecycle","Forwarding property, not duplicate storage"
"_exiting","desktop-pet/PetForm.cs:122","A Window shell","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1130 HostedStickyFaulted; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1142 HostedStickyEventReceived; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:16 AnimationTick; desktop-pet/PetAnimationRuntime.cs:124 ScheduleNextFrame; desktop-pet/PetAnimationRuntime.cs:137 ChooseRow; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:219 HandlePetPokedAsync; desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload; desktop-pet/PetAnimationRuntime.cs:455 QueueArtPreload; desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:344 ShowOrUpdateHoverBubble; desktop-pet/PetBubbleCoordinator.cs:397 RestoreAmbientBubble; desktop-pet/PetReminderWindowsCoordinator.cs:149 ReminderTick; desktop-pet/PetReminderWindowsCoordinator.cs:256 RequestReminderAttentionAnimation; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:12 PersistenceSaveFailed; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:28 RetryUnsavedPersistence; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:137 PrepareStickyNotesImport; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:247 RestoreStickyNotesBackup; desktop-pet/PetMenuActions.cs:226 BeginExitSequence; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker; desktop-pet/PetStartupCoordinator.cs:26 DeferredStartupTick; desktop-pet/PetStartupCoordinator.cs:113 TryRaiseStartupReady","desktop-pet/PetMenuActions.cs:226 BeginExitSequence","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_scalePercent","desktop-pet/PetForm.cs:123","D Display","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:616 ApplyCurrentDisplayScale; desktop-pet/PetForm.cs:799 SaveLocation; desktop-pet/PetAnimationRuntime.cs:508 BuildRenderedFrameCache; desktop-pet/PetDisplayRuntime.cs:74 UpdatePetCompatibilityLocation; desktop-pet/PetMenuActions.cs:20 RefreshMenuText; desktop-pet/PetMenuActions.cs:60 ShowScaleDialog; desktop-pet/PetMenuActions.cs:104 ApplyScale","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetMenuActions.cs:104 ApplyScale","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","DisplayRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_latestKeyboardEvent","desktop-pet/PetForm.cs:124","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity","Hook / Pet STA, lock _keyboardQueueGate","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pendingKeyboardOccurrences","desktop-pet/PetForm.cs:125","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity","Hook / Pet STA, lock _keyboardQueueGate","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_keyboardUiDispatchQueued","desktop-pet/PetForm.cs:126","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:14 KeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity","Hook / Pet STA, lock _keyboardQueueGate","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_privacyScanRunning","desktop-pet/PetForm.cs:127","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pendingOverlayText","desktop-pet/PetForm.cs:128","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pendingOverlayOccurrences","desktop-pet/PetForm.cs:129","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pendingOverlayVirtualKeyCode","desktop-pet/PetForm.cs:130","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pendingOverlayFocusSnapshot","desktop-pet/PetForm.cs:131","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pendingOverlayGeneration","desktop-pet/PetForm.cs:132","J Keyboard/input","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker","desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:68 QueuePrivacyCheckedOverlay","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_positioningNoteTabs","desktop-pet/PetForm.cs:133","H SideTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2821 PositionNoteTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2821 PositionNoteTabs","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","SideTabController","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_noteTabsSignature","desktop-pet/PetForm.cs:134","H SideTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2588 ReorderStickyNoteTab; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2821 PositionNoteTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2588 ReorderStickyNoteTab; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2682 RefreshNoteTabs; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2821 PositionNoteTabs","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","SideTabController","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_leftTabsCovered","desktop-pet/PetForm.cs:135","H SideTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","SideTabController","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_rightTabsCovered","desktop-pet/PetForm.cs:136","H SideTabs","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2792 ApplyNoteTabZOrder","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","SideTabController","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_activeNoteDragId","desktop-pet/PetForm.cs:137","G Dock","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:499 ResumeDockDragAfterTopologyChange; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:553 ReconcileDockGroups; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:1478 ScheduleLatestStandaloneReconcile; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:246 BeginStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:332 MoveStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:524 CompleteStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:635 ResetDockDragState; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1077 BeginHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1107 ResizeHostedStickyDockDivider; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:1211 ResizeStickyDockGroup","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:246 BeginStickyDockDrag; desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs:635 ResetDockDragState","Pet STA (async completion marshaled); referenced owner may execute elsewhere","gesture / effect scope; see lifecycle table","DockInteractionRuntime","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
